"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "GraphQL", "Markdown", "JSON with Comments", "JSON", "YAML", "SCSS", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/commentInterface/commentInterface.tsx", "TypeScript React", 361, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 396
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/comments/comments.styles.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/comments/comments.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/contentScript.tsx", "TypeScript React", 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 90
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/contentScript.utils.tsx", "TypeScript React", 103, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 115
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/createChatWindow/chatWindow.styles.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/createChatWindow/chatWindow.tsx", "TypeScript React", 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 53
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/hooks/useAnimationFrame.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 5, 25
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/hooks/useFetchEmojis.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 2, 8, 87
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/hooks/useIsMount.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/hooks/useMouseMove.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/index.tsx", "TypeScript React", 155, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14, 185
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/likesView/likesView.styles.tsx", "TypeScript React", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/likesView/likesView.tsx", "TypeScript React", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/messageBox/messageBox.styles.tsx", "TypeScript React", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 115
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/messageBox/messageBox.tsx", "TypeScript React", 204, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 227
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/replyCard/replyCard.tsx", "TypeScript React", 181, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 203
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/replyWindow/replyWindow.styles.tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 67
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/replyWindow/replyWindow.tsx", "TypeScript React", 124, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 135
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/start.tsx", "TypeScript React", 93, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 112
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/videoStyles/videoStyles.styles.tsx", "TypeScript React", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 100
"/Users/kishore/Documents/Github/QuietChat/extension/src/contentScript/videoStyles/videoStyles.tsx", "TypeScript React", 365, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 404
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/app/app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/app/app.styles.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/app/app.tsx", "TypeScript React", 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 79
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/header/header.styles.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
