"filename", "language", "TypeScript", "XML", "TypeScript React", "CSS", "JSON", "JSON with Comments", "GraphQL", "YAML", "Markdown", "HTML", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/replies/replies.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/trending/trending.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/welcome/welcome.styles.tsx", "TypeScript React", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 2, 143
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/welcome/welcome.tsx", "TypeScript React", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"/Users/kishore/Documents/Github/QuietChat/web/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/hooks.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/reducer/rootReducer.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/slices/miscSlice.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/slices/popupSlice.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/slices/settingsSlice.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/slices/userSlice.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/kishore/Documents/Github/QuietChat/web/src/redux/store.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"/Users/kishore/Documents/Github/QuietChat/web/src/reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/kishore/Documents/Github/QuietChat/web/src/routes.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/kishore/Documents/Github/QuietChat/web/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/storage/storage.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/cacheExchanges.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/enums.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/helpers.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 115
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/interfaces.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/isAuthUser.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/keyframes.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/themes/globalStyles.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/themes/theme.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 41
"/Users/kishore/Documents/Github/QuietChat/web/src/utils/urlClient.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"/Users/kishore/Documents/Github/QuietChat/web/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 706, 1, 4688, 44, 116, 21, 188, 12, 36, 28, 99, 601, 6540
